temperature_C,wavelength_nm,absorption_cm2,archived_emission_reconstruction_cm2,mccumber_emission_cm2,fluorescence_photon_probability_per_nm,energy_equivalent_fluorescence_wavelength_nm
20.0,880.0,2.412444942990923e-22,0.0,1.3290515486255272e-24,4.6294296117489085e-06,1012.5969786847127
20.0,880.5,2.4595251715564715e-22,0.0,1.3985893580394631e-24,4.860591534328578e-06,1012.5969786847127
20.0,881.0,2.5065291646041396e-22,0.0,1.4711285708480727e-24,5.101094209718306e-06,1012.5969786847127
20.0,881.5,2.553417794633028e-22,0.0,1.5467605351216756e-24,5.351187447437509e-06,1012.5969786847127
20.0,882.0,2.600152186577728e-22,0.0,1.6255777450139592e-24,5.611122529166226e-06,1012.5969786847127
20.0,882.5,2.646692455630871e-22,0.0,1.7076729474397365e-24,5.881149105493694e-06,1012.5969786847127
20.0,883.0,2.692998969420579e-22,0.0,1.7931397656161545e-24,6.161517346884824e-06,1012.5969786847127
20.0,883.5,2.7390315907039945e-22,0.0,1.882072075974745e-24,6.45247579159797e-06,1012.5969786847127
20.0,884.0,2.784750182238259e-22,0.0,1.974564171382441e-24,6.7542719124191395e-06,1012.5969786847127
20.0,884.5,2.830115111651495e-22,0.0,2.070710975709128e-24,7.067152851026774e-06,1012.5969786847127
20.0,885.0,2.875085736829866e-22,0.0,2.1706067914180622e-24,7.391361147088834e-06,1012.5969786847127
20.0,885.5,2.919622172966002e-22,0.0,2.2743463770647285e-24,7.72713844109765e-06,1012.5969786847127
20.0,886.0,2.963685040123517e-22,0.0,2.382024638769414e-24,8.07472442890597e-06,1012.5969786847127
20.0,886.5,3.0072349583660207e-22,0.0,2.493736066944875e-24,8.434354968830574e-06,1012.5969786847127
20.0,887.0,3.0502322953216346e-22,0.0,2.6095742993872382e-24,8.806260640857685e-06,1012.5969786847127
20.0,887.5,3.0926389332314195e-22,0.0,2.7296334092818987e-24,9.190671133296967e-06,1012.5969786847127
20.0,888.0,3.1344167543364346e-22,0.0,2.8540064805963367e-24,9.587810457676336e-06,1012.5969786847127
20.0,888.5,3.1755278933132293e-22,0.0,2.9827855827499078e-24,9.997896918428604e-06,1012.5969786847127
20.0,889.0,3.215935999451291e-22,0.0,3.1160627499318682e-24,1.0421146443166467e-05,1012.5969786847127
20.0,889.5,3.255604722040108e-22,0.0,3.2539284001558225e-24,1.0857767325238213e-05,1012.5969786847127
20.0,890.0,3.294499224982104e-22,0.0,3.396472591908974e-24,1.1307964484504635e-05,1012.5969786847127
20.0,890.5,3.3325849246151945e-22,0.0,3.543783601955733e-24,1.1771934772425375e-05,1012.5969786847127
20.0,891.0,3.369828751890234e-22,0.0,3.695949019362638e-24,1.2249870680271786e-05,1012.5969786847127
