wavelength_nm,sigma_abs_cm2,sigma_em_cm2
905,1.0843e-021,1.0949e-022
906,1.1652e-021,1.0949e-022
907,1.2465e-021,1.0949e-022
908,1.3585e-021,1.0949e-022
909,1.5374e-021,1.6424e-022
910,1.8543e-021,1.6424e-022
911,2.365e-021,2.1898e-022
912,3.0183e-021,2.7373e-022
913,3.6562e-021,3.2848e-022
914,3.9796e-021,3.8322e-022
915,3.8868e-021,3.8322e-022
916,3.4836e-021,3.8322e-022
917,2.9969e-021,3.2848e-022
918,2.6041e-021,3.2848e-022
919,2.3458e-021,3.2848e-022
920,2.2197e-021,3.2848e-022
921,2.1967e-021,3.2848e-022
922,2.2874e-021,3.3286e-022
923,2.5403e-021,3.8322e-022
924,2.9453e-021,4.5769e-022
925,3.4453e-021,5.4746e-022
926,3.8962e-021,6.5695e-022
927,4.1895e-021,7.117e-022
928,4.3569e-021,7.117e-022
929,4.47e-021,8.2119e-022
930,4.5095e-021,8.7594e-022
931,4.4625e-021,8.7594e-022
932,4.41e-021,9.0222e-022
933,4.5102e-021,9.6463e-022
934,4.8269e-021,1.0818e-021
935,5.378e-021,1.2044e-021
936,5.9707e-021,1.3709e-021
937,6.4435e-021,1.5329e-021
938,6.7809e-021,1.5876e-021
939,7.2119e-021,1.7223e-021
940,7.7796e-021,1.949e-021
941,7.987e-021,2.1898e-021
942,7.2672e-021,2.1417e-021
943,5.9521e-021,1.915e-021
944,4.6579e-021,1.6336e-021
945,3.6832e-021,1.4781e-021
946,3.0106e-021,1.3446e-021
947,2.5443e-021,1.2044e-021
948,2.2628e-021,1.1497e-021
949,2.1134e-021,1.1497e-021
950,2.0156e-021,1.1497e-021
951,1.915e-021,1.1497e-021
952,1.7937e-021,1.1497e-021
953,1.6899e-021,1.1497e-021
954,1.6645e-021,1.1803e-021
955,1.7078e-021,1.2975e-021
956,1.771e-021,1.4147e-021
957,1.8178e-021,1.4781e-021
958,1.8463e-021,1.5876e-021
959,1.8023e-021,1.6424e-021
960,1.679e-021,1.5876e-021
961,1.5362e-021,1.5329e-021
962,1.4591e-021,1.5154e-021
963,1.4873e-021,1.6325e-021
964,1.6231e-021,1.8592e-021
965,1.8945e-021,2.3103e-021
966,2.4702e-021,3.022e-021
967,3.7646e-021,4.6424e-021
968,5.7084e-021,6.9351e-021
969,6.3476e-021,7.4641e-021
970,4.3834e-021,5.9235e-021
971,2.3934e-021,3.5334e-021
972,1.3819e-021,2.2862e-021
973,9.4905e-022,1.7398e-021
974,7.7698e-022,1.5329e-021
975,7.306e-022,1.5329e-021
976,7.5993e-022,1.7322e-021
977,8.4281e-022,2.0136e-021
978,9.2292e-022,2.2402e-021
979,9.5833e-022,2.3574e-021
980,9.3697e-022,2.4088e-021
981,8.9404e-022,2.3541e-021
982,8.4109e-022,2.4088e-021
983,7.7558e-022,2.3201e-021
984,7.1163e-022,2.1898e-021
985,6.6307e-022,2.1843e-021
986,6.3811e-022,2.1898e-021
987,6.081e-022,2.1898e-021
988,5.7017e-022,2.1351e-021
989,5.3911e-022,2.1099e-021
990,5.1425e-022,2.0804e-021
991,5.0481e-022,2.1756e-021
992,5.1408e-022,2.3475e-021
993,5.276e-022,2.5183e-021
994,5.3686e-022,2.6278e-021
995,5.3727e-022,2.7373e-021
996,5.5002e-022,2.9256e-021
997,5.7941e-022,3.207e-021
998,6.1268e-022,3.5279e-021
999,6.3486e-022,3.7698e-021
1000,6.2934e-022,3.887e-021
1001,6.0185e-022,3.8793e-021
1002,5.6937e-022,3.7775e-021
1003,5.6475e-022,3.9647e-021
1004,5.7233e-022,4.2461e-021
1005,5.8042e-022,4.4728e-021
1006,5.7525e-022,4.5899e-021
1007,5.4681e-022,4.5987e-021
1008,4.9746e-022,4.3731e-021
1009,4.404e-022,4.037e-021
1010,4.0114e-022,3.8322e-021
1011,3.7831e-022,3.8322e-021
1012,3.5785e-022,3.8322e-021
1013,3.4115e-022,3.7775e-021
1014,3.2155e-022,3.7227e-021
1015,3.0648e-022,3.668e-021
1016,2.9771e-022,3.7358e-021
1017,3.039e-022,3.9833e-021
1018,3.2117e-022,4.4652e-021
1019,3.6008e-022,5.1264e-021
1020,4.0557e-022,6.0223e-021
1021,4.8326e-022,7.5792e-021
1022,5.8911e-022,9.5647e-021
1023,6.882e-022,1.135e-020
1024,7.6789e-022,1.3003e-020
1025,8.2007e-022,1.448e-020
1026,8.3334e-022,1.527e-020
1027,8.6767e-022,1.6742e-020
1028,9.8583e-022,2.0284e-020
1029,1.1395e-021,2.4119e-020
1030,1.1599e-021,2.4778e-020
1031,9.4877e-022,2.1891e-020
1032,6.6507e-022,1.6177e-020
1033,4.5091e-022,1.1522e-020
1034,3.2125e-022,8.5205e-021
1035,2.3524e-022,6.6077e-021
1036,1.8686e-022,5.4109e-021
1037,1.475e-022,4.6241e-021
1038,1.2729e-022,4.1257e-021
1039,1.1113e-022,3.7271e-021
1040,9.1857e-023,3.3287e-021
1041,7.7878e-023,3.0253e-021
1042,7.0383e-023,2.7921e-021
1043,6.4786e-023,2.6278e-021
1044,6.2033e-023,2.6914e-021
1045,6.0315e-023,2.8633e-021
1046,6.3117e-023,3.1446e-021
1047,6.8965e-023,3.3713e-021
1048,7.3565e-023,3.5038e-021
1049,6.4975e-023,3.449e-021
1050,5.895e-023,3.1753e-021
1051,4.8252e-023,2.6672e-021
1052,3.6365e-023,2.2138e-021
1053,2.9731e-023,1.8384e-021
1054,2.2712e-023,1.557e-021
1055,1.7948e-023,1.3852e-021
1056,1.4794e-023,1.2592e-021
1057,1.1256e-023,1.1497e-021
1058,1.0315e-023,1.0402e-021
1059,9.7133e-024,9.7118e-022
1060,9.5548e-024,8.7594e-022
1061,4.3888e-024,8.2119e-022
1062,4.6497e-024,7.6645e-022
1063,5.7593e-024,7.6645e-022
1064,5.9795e-024,7.117e-022
1065,5.9207e-024,6.5695e-022
1066,3.584e-024,6.5695e-022
1067,4.8332e-024,6.0221e-022
1068,1.0693e-024,6.0221e-022
1069,4.6142e-024,6.0221e-022
1070,6.0919e-024,5.5837e-022
1071,5.238e-024,5.4746e-022
1072,6.4188e-024,5.4746e-022
1073,5.0895e-024,5.4746e-022
1074,2.9632e-024,4.9272e-022
1075,5.9679e-024,4.9272e-022
1076,4.8023e-024,4.9272e-022
1077,9.3467e-024,4.9272e-022
1078,6.1857e-024,4.4229e-022
1079,8.5944e-024,4.3797e-022
1080,9.5909e-024,4.2707e-022
1081,9.6766e-024,3.8322e-022
1082,1.1081e-023,3.8322e-022
1083,1.038e-023,3.8322e-022
1084,1.1984e-023,3.8322e-022
1085,1.2508e-023,3.2848e-022
1086,1.0958e-023,3.2848e-022
1087,1.2969e-023,3.2848e-022
1088,1.1821e-023,3.2848e-022
1089,1.6904e-023,3.2848e-022
1090,1.5219e-023,2.7373e-022
1091,1.8343e-023,2.7373e-022
1092,1.8273e-023,2.7373e-022
1093,1.6366e-023,2.7373e-022
1094,1.9119e-023,2.7373e-022
1095,2.1775e-023,2.7373e-022
