Yb_at_percent,temperature_K,diffusivity_cm2_s,k_W_mK,rho_RT_g_cm3,rhoCp_RT_J_cm3K,source_id
0,299,0.041,11.2,4.56,2.73,AGGARWAL2005
0,251,0.056,13.4,4.56,2.73,AGGARWAL2005
0,201,0.091,17.6,4.56,2.73,AGGARWAL2005
0,152,0.187,26.4,4.56,2.73,AGGARWAL2005
0,102,0.638,46.1,4.56,2.73,AGGARWAL2005
2,298,0.032,8.6,4.6,2.64,AGGARWAL2005
2,250,0.043,10.2,4.6,2.64,AGGARWAL2005
2,199,0.068,13,4.6,2.64,AGGARWAL2005
2,149,0.133,18.7,4.6,2.64,AGGARWAL2005
2,98,0.449,33.8,4.6,2.64,AGGARWAL2005
4,298,0.03,8.2,4.62,2.7,AGGARWAL2005
4,251,0.041,9.6,4.62,2.7,AGGARWAL2005
4,201,0.062,11.8,4.62,2.7,AGGARWAL2005
4,151,0.117,15.5,4.62,2.7,AGGARWAL2005
4,101,0.367,25.0,4.62,2.7,AGGARWAL2005
15,298,0.024,6.7,4.85,2.77,AGGARWAL2005
15,251,0.031,7.4,4.85,2.77,AGGARWAL2005
15,202,0.046,9,4.85,2.77,AGGARWAL2005
15,152,0.082,11.3,4.85,2.77,AGGARWAL2005
15,101,0.231,16.4,4.85,2.77,AGGARWAL2005
