sample_type,temperature_K,k_W_mK,diffusivity_mm2_s,Cp_J_gK,alpha_ppm_K,apparent_dn_dT_ppm_K,source_id
single_crystal,100,,,0.18,2.14,2.23,SATO2025
single_crystal,150,,,0.324,3.56,3.83,SATO2025
single_crystal,160,25.3,15.8,0.35,3.81,4.14,SATO2025
single_crystal,200,18.3,9.11,0.444,4.71,5.23,SATO2025
single_crystal,250,13.3,5.49,0.536,5.59,6.47,SATO2025
single_crystal,300,10.4,3.8,0.604,6.26,7.5,SATO2025
single_crystal,350,8.74,2.94,0.656,6.77,8.3,SATO2025
single_crystal,400,7.68,2.44,0.694,7.18,8.88,SATO2025
single_crystal,450,6.9,2.1,0.724,7.52,9.19,SATO2025
single_crystal,500,6.31,1.86,0.748,7.8,9.31,SATO2025
ceramic,100,,,0.18,2.14,2.23,SATO2025
ceramic,150,,,0.324,3.56,3.83,SATO2025
ceramic,160,21.3,13.3,0.35,3.81,4.14,SATO2025
ceramic,200,16.3,8.12,0.444,4.71,5.23,SATO2025
ceramic,250,12.3,5.09,0.536,5.59,6.47,SATO2025
ceramic,300,9.75,3.56,0.604,6.26,7.5,SATO2025
ceramic,350,8.24,2.77,0.656,6.77,8.3,SATO2025
ceramic,400,7.31,2.32,0.694,7.18,8.88,SATO2025
ceramic,450,6.62,2.02,0.724,7.52,9.19,SATO2025
ceramic,500,6.08,1.8,0.748,7.8,9.31,SATO2025
