Yb_at_percent,quantity,value,unit,temperature_K,sample,source_id,quality_note
5,reported_peak_absorption_coefficient,6,cm^-1,293.15,transparent_ceramic,TANG2014,"reported text value; peak wavelength not specified in text"
10,reported_peak_absorption_coefficient,11,cm^-1,293.15,transparent_ceramic,TANG2014,"reported text value; peak wavelength not specified in text"
15,reported_peak_absorption_coefficient,16,cm^-1,293.15,transparent_ceramic,TANG2014,"reported text value; peak wavelength not specified in text"
20,reported_peak_absorption_coefficient,22,cm^-1,293.15,transparent_ceramic,TANG2014,"reported text value; peak wavelength not specified in text"
5,laser_slope_efficiency,0.49,1,293.15,transparent_ceramic,TANG2014,"940 nm pump; 5% output coupler; setup-specific"
10,laser_slope_efficiency,0.41,1,293.15,transparent_ceramic,TANG2014,"940 nm pump; 5% output coupler; setup-specific"
5,absorbed_pump_threshold,2.1,W,293.15,transparent_ceramic,TANG2014,"940 nm pump; plano-plano resonator; setup-specific"
10,absorbed_pump_threshold,2.6,W,293.15,transparent_ceramic,TANG2014,"940 nm pump; plano-plano resonator; setup-specific"
5,thermal_conductivity,8.6,W_m-1_K-1,293.15,transparent_ceramic,TANG2014,"reported text value"
15,thermal_conductivity,6.7,W_m-1_K-1,298,single_crystal,AGGARWAL2005,"tabulated; estimated +/-7%"
15,thermal_conductivity,7.4,W_m-1_K-1,251,single_crystal,AGGARWAL2005,"tabulated; estimated +/-7%"
15,thermal_conductivity,9.0,W_m-1_K-1,202,single_crystal,AGGARWAL2005,"tabulated; estimated +/-7%"
15,thermal_conductivity,11.3,W_m-1_K-1,152,single_crystal,AGGARWAL2005,"tabulated; estimated +/-7%"
15,thermal_conductivity,16.4,W_m-1_K-1,101,single_crystal,AGGARWAL2005,"tabulated; estimated +/-7%"
