wavelength_nm,sigma_abs_300K_cm2,sigma_abs_450K_cm2,sigma_em_300K_cm2,sigma_em_450K_cm2,abs_300_detected,abs_450_detected,em_300_detected,em_450_detected
920,2.8606060606060606e-21,2.5757575757575754e-21,7.096774193548388e-23,2.661290322580645e-22,True,True,False,True
921,2.5636363636363633e-21,2.339393939393939e-21,7.096774193548388e-23,2.838709677419355e-22,True,True,False,True
922,2.496969696969697e-21,2.327272727272727e-21,7.096774193548388e-23,3.016129032258065e-22,True,True,False,True
923,2.460606060606061e-21,2.412121212121212e-21,7.096774193548388e-23,3.5483870967741935e-22,False,True,True,True
924,2.424242424242424e-21,2.545454545454545e-21,7.096774193548388e-23,3.9032258064516134e-22,True,True,True,True
925,2.9616161616161612e-21,2.824242424242424e-21,1.4193548387096775e-22,4.080645161290323e-22,False,True,True,True
926,3.4989898989898985e-21,3.1636363636363633e-21,1.596774193548387e-22,5.32258064516129e-22,False,True,True,True
927,4.036363636363636e-21,3.6363636363636356e-21,2.483870967741935e-22,5.5e-22,True,True,True,True
928,4.218181818181818e-21,3.666666666666666e-21,3.016129032258065e-22,6.209677419354839e-22,True,True,True,True
929,4.381818181818181e-21,4.139393939393939e-21,3.9032258064516134e-22,6.919354838709678e-22,True,True,True,True
930,4.545454545454545e-21,3.818181818181818e-21,4.258064516129032e-22,7.274193548387098e-22,True,True,True,True
931,4.581818181818182e-21,3.818181818181818e-21,4.258064516129032e-22,7.629032258064516e-22,True,True,True,True
932,4.642424242424242e-21,3.884848484848484e-21,4.612903225806451e-22,8.161290322580646e-22,True,True,False,True
933,4.630303030303029e-21,3.866666666666666e-21,4.96774193548387e-22,8.338709677419355e-22,True,True,True,True
934,4.509090909090908e-21,3.8545454545454545e-21,6.387096774193548e-22,8.338709677419355e-22,True,True,True,True
935,4.751515151515152e-21,4.090909090909091e-21,5.67741935483871e-22,9.225806451612905e-22,True,True,True,True
936,5.0121212121212114e-21,4.696969696969697e-21,9.225806451612905e-22,9.93548387096774e-22,True,True,True,True
937,5.721212121212121e-21,4.721212121212121e-21,7.096774193548387e-22,1.1e-21,True,True,True,True
938,6.1818181818181815e-21,5.0545454545454544e-21,8.516129032258065e-22,1.2419354838709678e-21,True,True,True,True
939,6.4969696969696966e-21,5.2242424242424244e-21,9.93548387096774e-22,1.3483870967741936e-21,True,True,True,True
940,6.606060606060606e-21,5.3696969696969696e-21,1.1e-21,1.4193548387096774e-21,True,True,True,True
941,6.909090909090908e-21,5.684848484848484e-21,1.2419354838709678e-21,1.5612903225806453e-21,True,True,True,True
942,7.375757575757576e-21,6.618181818181818e-21,1.5612903225806453e-21,1.667741935483871e-21,True,True,True,True
943,7.43030303030303e-21,6.569696969696969e-21,1.5258064516129032e-21,1.756451612903226e-21,True,True,True,True
944,6.975757575757574e-21,6.0363636363636355e-21,1.5080645161290323e-21,1.7387096774193547e-21,True,True,True,True
945,5.951515151515151e-21,4.945454545454545e-21,1.2419354838709678e-21,1.667741935483871e-21,True,True,True,True
946,4.5696969696969686e-21,4.23030303030303e-21,1.0290322580645162e-21,1.4903225806451614e-21,False,True,True,True
947,3.1878787878787877e-21,3.5636363636363634e-21,8.870967741935485e-22,1.3483870967741936e-21,True,True,True,True
948,2.8121212121212117e-21,3.1757575757575753e-21,7.806451612903227e-22,1.2596774193548387e-21,True,True,True,True
949,2.424242424242424e-21,2.824242424242424e-21,6.741935483870968e-22,1.135483870967742e-21,True,True,True,True
950,2.2303030303030303e-21,2.63030303030303e-21,6.564516129032258e-22,1.117741935483871e-21,True,True,True,True
951,2.1454545454545453e-21,2.4545454545454543e-21,6.564516129032258e-22,1.117741935483871e-21,True,True,True,True
952,2.0787878787878786e-21,2.412121212121212e-21,6.741935483870968e-22,1.1e-21,True,True,True,True
953,2e-21,2.3090909090909087e-21,8.161290322580646e-22,1.046774193548387e-21,True,True,True,True
954,1.9272727272727272e-21,2.242424242424242e-21,6.741935483870968e-22,1.1e-21,True,True,True,True
955,1.8424242424242423e-21,2.206060606060606e-21,6.741935483870968e-22,1.117741935483871e-21,True,True,True,True
956,1.812121212121212e-21,2.121212121212121e-21,7.096774193548387e-22,1.153225806451613e-21,True,True,True,True
957,1.8424242424242423e-21,2.109090909090909e-21,7.451612903225807e-22,1.206451612903226e-21,True,True,True,True
958,1.915151515151515e-21,2.218181818181818e-21,8.338709677419355e-22,1.2596774193548387e-21,True,True,True,True
959,1.8909090909090908e-21,2.218181818181818e-21,8.870967741935485e-22,1.2774193548387096e-21,True,True,True,True
960,1.8909090909090908e-21,2.218181818181818e-21,8.870967741935485e-22,1.4193548387096774e-21,True,True,True,True
961,1.8909090909090908e-21,2.2666666666666664e-21,9.93548387096774e-22,1.4548387096774196e-21,True,True,True,True
962,1.7939393939393937e-21,2.2666666666666664e-21,9.758064516129033e-22,1.4903225806451614e-21,True,True,True,True
963,1.6606060606060604e-21,2.206060606060606e-21,9.93548387096774e-22,1.543548387096774e-21,True,True,True,True
964,1.5636363636363636e-21,2.1454545454545453e-21,9.93548387096774e-22,1.543548387096774e-21,True,True,True,True
965,1.6363636363636364e-21,2.2121212121212117e-21,1.0290322580645162e-21,1.6322580645161291e-21,True,True,True,True
966,1.806060606060606e-21,2.3151515151515146e-21,1.206451612903226e-21,1.8096774193548387e-21,True,True,True,True
967,2.0242424242424243e-21,2.496969696969697e-21,1.4193548387096774e-21,1.9161290322580645e-21,True,True,True,True
