wavelength_nm,sigma_em_20C_cm2,sigma_em_80C_cm2,sigma_em_140C_cm2,sigma_em_200C_cm2
1020,5.6000e-21,5.2000e-21,4.7000e-21,4.4000e-21
1022,7.6000e-21,6.8000e-21,5.9000e-21,5.3000e-21
1024,1.0500e-20,8.8000e-21,7.5000e-21,6.4000e-21
1026,1.2700e-20,1.0800e-20,9.0000e-21,7.7000e-21
1028,1.7900e-20,1.3700e-20,1.1100e-20,9.4000e-21
1030,2.2400e-20,1.6100e-20,1.2800e-20,1.0400e-20
1032,1.2500e-20,1.1300e-20,9.8000e-21,8.8000e-21
1034,7.7000e-21,7.6000e-21,6.9000e-21,6.5000e-21
1036,5.3000e-21,5.5000e-21,5.3000e-21,5.1000e-21
1038,4.0000e-21,4.2000e-21,4.1000e-21,4.2000e-21
1040,3.0000e-21,3.3000e-21,3.4000e-21,3.5000e-21
1042,2.7000e-21,2.8000e-21,2.9000e-21,3.0000e-21
1044,2.4000e-21,2.5000e-21,2.6000e-21,2.7000e-21
1046,2.8000e-21,2.7000e-21,2.6000e-21,2.6000e-21
1048,3.3000e-21,2.9000e-21,2.6000e-21,2.4000e-21
1050,2.8000e-21,2.6000e-21,2.4000e-21,2.3000e-21
1052,2.3000e-21,2.2000e-21,2.1000e-21,2.0000e-21
1054,1.8000e-21,1.8000e-21,1.8000e-21,1.8000e-21
1056,1.4000e-21,1.4000e-21,1.5000e-21,1.5000e-21
1058,1.2000e-21,1.2000e-21,1.3000e-21,1.3000e-21
1060,1.0000e-21,1.1000e-21,1.1000e-21,1.2000e-21
